audio_url,description,model_id
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8_200k/YkHIe4CfaccQ.wav,A goat bleating,30_final_audiocaps_baseline_2023_07_16_small_8_200k
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_21_medium_8/Y6ukYSXzfEgQ.wav,Pots bang then a faucet turns on and water flows,30_final_audiocaps_baseline_2023_07_21_medium_8
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_21_full_8_ft_ddpm_crossattn_t5/YIKnx3hJv1bs.wav,Compressed air spraying followed by a power tool buzzing,2023_07_21_full_8_ft_ddpm_crossattn_t5
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8/Yjlwe9jtu5Gw.wav,A person whistling followed by metal rattling in the background,30_final_audiocaps_baseline_2023_07_16_small_8
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8/YbIiiIo20PsY.wav,A man talking as a swarm of insects are buzzing,30_final_audiocaps_baseline_2023_07_16_small_8
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8_crossattn/YHxZADVzNIqs.wav,Water trickles as birds chirp then drums begin to play,30_final_audiocaps_baseline_2023_07_16_small_8_crossattn
https://github.com/MosSpace/iclr2024/raw/main/audio/audioldm_m/YLVvS3s9dFKw.wav,A man talking as metal pots clang while water pours from a faucet followed by water trickling,audioldm_m
https://github.com/MosSpace/iclr2024/raw/main/audio/tango/YmW1EpJYcy_E.wav,A motorbike revving and driving by as wind blows heavily into a microphone,tango
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_16_full_8_ft_ddpm/Yrp3CQsWxVgE.wav,"Traffic is present nearby, and a car horn plays the theme to the godfather",2023_07_16_full_8_ft_ddpm
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_full/YZ1Cyj4N05lk.wav,Musical whistling followed by a man speaking,audiobox_full
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_21_full_8_ft_ddpm_crossattn_t5_medium/YLVvS3s9dFKw.wav,A man talking as metal pots clang while water pours from a faucet followed by water trickling,2023_07_21_full_8_ft_ddpm_crossattn_t5_medium
https://github.com/MosSpace/iclr2024/raw/main/audio/audioldm_m/Y-Sz4z0QwEuM.wav,A person burps loudly,audioldm_m
https://github.com/MosSpace/iclr2024/raw/main/audio/make_an_audio_2/Y11SEBDuoqSk.wav,Humming of an engine with rapid gunshots,make_an_audio_2
https://github.com/MosSpace/iclr2024/raw/main/audio/groundtruth/Yjj2RyNDj7no.wav,"Insects are buzzing, and birds are chirping",groundtruth
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8_200k/YR4fXcbWFhJg.wav,Distant clip clops of horses with a man speaking and a woman screaming,30_final_audiocaps_baseline_2023_07_16_small_8_200k
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_21_full_8_ft_ddpm_crossattn_t5/YR4fXcbWFhJg.wav,Distant clip clops of horses with a man speaking and a woman screaming,2023_07_21_full_8_ft_ddpm_crossattn_t5
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8_crossattn/Ykdflh3akyH8.wav,Several puppies whimpering during cardboard scratching and rattling,30_final_audiocaps_baseline_2023_07_16_small_8_crossattn
https://github.com/MosSpace/iclr2024/raw/main/audio/tango/YHxZADVzNIqs.wav,Water trickles as birds chirp then drums begin to play,tango
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_large_full/YNeWW30WZjPc.wav,A dog growling and barking repeatedly,audiobox_large_full
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_16_full_8_ft_ddpm/YZY4aGEniU_E.wav,Food sizzles as a man speaks with music playing,2023_07_16_full_8_ft_ddpm
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_full/YK2kIOBeCfuo.wav,A crowd of people laughing and cheering as a man speaks on a microphone,audiobox_full
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_large_full/YKVAIaRPry24.wav,Buzzing and scratching with some light banging,audiobox_large_full
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_full/YbIiiIo20PsY.wav,A man talking as a swarm of insects are buzzing,audiobox_full
https://github.com/MosSpace/iclr2024/raw/main/audio/audioldm_m/Yrp3CQsWxVgE.wav,"Traffic is present nearby, and a car horn plays the theme to the godfather",audioldm_m
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_large_full/Ykdflh3akyH8.wav,Several puppies whimpering during cardboard scratching and rattling,audiobox_large_full
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_large_full/YIKnx3hJv1bs.wav,Compressed air spraying followed by a power tool buzzing,audiobox_large_full
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_21_full_8_ft_ddpm_crossattn_t5_medium/Y9dLLsZVRSZI.wav,Humming and rustling from a large engine followed by two honks of a horn,2023_07_21_full_8_ft_ddpm_crossattn_t5_medium
https://github.com/MosSpace/iclr2024/raw/main/audio/groundtruth/YR4fXcbWFhJg.wav,Distant clip clops of horses with a man speaking and a woman screaming,groundtruth
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_21_medium_8/Y6aWnK1GyeJY.wav,"A baby cries while electronic speech occurs in the background, an adult female speaks, a sneeze occurs, and an adult female speaks once more",30_final_audiocaps_baseline_2023_07_21_medium_8
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8_crossattn/Y4Ujigme2IxY.wav,An engine running and screeching with rustling,30_final_audiocaps_baseline_2023_07_16_small_8_crossattn
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_21_full_8_ft_ddpm_crossattn_t5/YAgaiowyYt88.wav,A door pounding and rattling,2023_07_21_full_8_ft_ddpm_crossattn_t5
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8_200k/Y5t6tSW0yT40.wav,Short spraying that stops near the end,30_final_audiocaps_baseline_2023_07_16_small_8_200k
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_21_full_8_ft_ddpm_crossattn_t5/YHxZADVzNIqs.wav,Water trickles as birds chirp then drums begin to play,2023_07_21_full_8_ft_ddpm_crossattn_t5
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_large_full/YUmNrhFKpWIY.wav,"A vehicle accelerates and then slows, then speeds up, then stops",audiobox_large_full
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_21_medium_8/Y3XcIVh40pTI.wav,A sleeping person snores loudly,30_final_audiocaps_baseline_2023_07_21_medium_8
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8_200k/YNeWW30WZjPc.wav,A dog growling and barking repeatedly,30_final_audiocaps_baseline_2023_07_16_small_8_200k
https://github.com/MosSpace/iclr2024/raw/main/audio/2023_07_21_full_8_ft_ddpm_crossattn_t5/YUmNrhFKpWIY.wav,"A vehicle accelerates and then slows, then speeds up, then stops",2023_07_21_full_8_ft_ddpm_crossattn_t5
https://github.com/MosSpace/iclr2024/raw/main/audio/30_final_audiocaps_baseline_2023_07_16_small_8_crossattn/YK2kIOBeCfuo.wav,A crowd of people laughing and cheering as a man speaks on a microphone,30_final_audiocaps_baseline_2023_07_16_small_8_crossattn
https://github.com/MosSpace/iclr2024/raw/main/audio/audiobox_full/YNeWW30WZjPc.wav,A dog growling and barking repeatedly,audiobox_full
