audio_url,transcription,model_id
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ001-0051.wav,"and paying great attention to the ""press work"" or actual process of printing,",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ016-0125.wav,"with this, placed against the wall near the chevaux-de-frise, he made an escalade.",reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ046-0111.wav,The Secret Service has attempted to perform this function through the activities of its Protective Research Section,reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_ljspeech_only/LJ050-0029.wav,that is reflected in definite and comprehensive operating procedures.,audiobox_ljspeech_only
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final/LJ042-0133.wav,a great change must have occurred in Oswald's thinking to induce him to return to the United States.,audiobox_final
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ016-0125.wav,"with this, placed against the wall near the chevaux-de-frise, he made an escalade.",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ046-0111.wav,The Secret Service has attempted to perform this function through the activities of its Protective Research Section,fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final_v2/LJ001-0051.wav,"and paying great attention to the ""press work"" or actual process of printing,",audiobox_final_v2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ046-0092.wav,has confidence in the dedicated Secret Service men who are ready to lay down their lives for him,reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ016-0125.wav,"with this, placed against the wall near the chevaux-de-frise, he made an escalade.",fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ021-0025.wav,"And in many directions, the intervention of that organized control which we call government",fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final/LJ019-0270.wav,"Vegetables, especially the potato, that most valuable anti-scorbutic, was too often omitted.",audiobox_final
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ048-0143.wav,the Secret Service did not at the time of the assassination have any established procedure governing its relationships with them.,fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ014-0142.wav,"was strewn in front of the dock, and sprinkled it towards the bench with a contemptuous gesture.",reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ014-0142.wav,"was strewn in front of the dock, and sprinkled it towards the bench with a contemptuous gesture.",fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_ljspeech_only/LJ023-0016.wav,In nineteen thirty-three you and I knew that we must never let our economic system get completely out of joint again,audiobox_ljspeech_only
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ050-0029.wav,that is reflected in definite and comprehensive operating procedures.,groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ046-0111.wav,The Secret Service has attempted to perform this function through the activities of its Protective Research Section,groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final/LJ023-0016.wav,In nineteen thirty-three you and I knew that we must never let our economic system get completely out of joint again,audiobox_final
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ023-0016.wav,In nineteen thirty-three you and I knew that we must never let our economic system get completely out of joint again,fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_ljspeech_only/LJ046-0111.wav,The Secret Service has attempted to perform this function through the activities of its Protective Research Section,audiobox_ljspeech_only
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final/LJ046-0111.wav,The Secret Service has attempted to perform this function through the activities of its Protective Research Section,audiobox_final
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ016-0241.wav,"Calcraft served the city of London till eighteen seventy-four, when he was pensioned at the rate of twenty-five shillings per week.",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ002-0106.wav,in which latterly a copper had been fixed for the cooking of provisions sent in by charitable persons.,fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ001-0051.wav,"and paying great attention to the ""press work"" or actual process of printing,",reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ014-0142.wav,"was strewn in front of the dock, and sprinkled it towards the bench with a contemptuous gesture.",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ042-0194.wav,"they should not be confused with slowness, indecision or fear. Only the intellectually fearless could even be remotely attracted to our doctrine,",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ042-0133.wav,a great change must have occurred in Oswald's thinking to induce him to return to the United States.,reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ049-0154.wav,"In eighteen ninety-four,",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ016-0241.wav,"Calcraft served the city of London till eighteen seventy-four, when he was pensioned at the rate of twenty-five shillings per week.",reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ044-0224.wav,"would not agree with that particular wording, end quote.",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final_v2/LJ015-0052.wav,to the value of twenty thousand pounds.,audiobox_final_v2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ042-0133.wav,a great change must have occurred in Oswald's thinking to induce him to return to the United States.,fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final/LJ015-0052.wav,to the value of twenty thousand pounds.,audiobox_final
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final_v2/LJ042-0133.wav,a great change must have occurred in Oswald's thinking to induce him to return to the United States.,audiobox_final_v2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ021-0025.wav,"And in many directions, the intervention of that organized control which we call government",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final/LJ016-0241.wav,"Calcraft served the city of London till eighteen seventy-four, when he was pensioned at the rate of twenty-five shillings per week.",audiobox_final
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ015-0052.wav,to the value of twenty thousand pounds.,reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ042-0194.wav,"they should not be confused with slowness, indecision or fear. Only the intellectually fearless could even be remotely attracted to our doctrine,",fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_ljspeech_only/LJ042-0133.wav,a great change must have occurred in Oswald's thinking to induce him to return to the United States.,audiobox_ljspeech_only
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ019-0270.wav,"Vegetables, especially the potato, that most valuable anti-scorbutic, was too often omitted.",fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_ljspeech_only/LJ016-0241.wav,"Calcraft served the city of London till eighteen seventy-four, when he was pensioned at the rate of twenty-five shillings per week.",audiobox_ljspeech_only
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_ljspeech_only/LJ048-0143.wav,the Secret Service did not at the time of the assassination have any established procedure governing its relationships with them.,audiobox_ljspeech_only
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ023-0016.wav,In nineteen thirty-three you and I knew that we must never let our economic system get completely out of joint again,reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ050-0029.wav,that is reflected in definite and comprehensive operating procedures.,reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ014-0121.wav,"The prisoners were in due course transferred to Newgate, to be put upon their trial at the Central Criminal Court.",reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final_v2/LJ014-0142.wav,"was strewn in front of the dock, and sprinkled it towards the bench with a contemptuous gesture.",audiobox_final_v2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ019-0270.wav,"Vegetables, especially the potato, that most valuable anti-scorbutic, was too often omitted.",groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ019-0202.wav,The preference given to the Pentonville system destroyed all hopes of a complete reformation of Newgate.,fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final/LJ002-0106.wav,in which latterly a copper had been fixed for the cooking of provisions sent in by charitable persons.,audiobox_final
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ042-0133.wav,a great change must have occurred in Oswald's thinking to induce him to return to the United States.,groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ002-0106.wav,in which latterly a copper had been fixed for the cooking of provisions sent in by charitable persons.,reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final_v2/LJ016-0241.wav,"Calcraft served the city of London till eighteen seventy-four, when he was pensioned at the rate of twenty-five shillings per week.",audiobox_final_v2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final/LJ008-0266.wav,"Thus in the years between May first, eighteen twenty-seven, and thirtieth April, eighteen thirty-one,",audiobox_final
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final_v2/LJ021-0025.wav,"And in many directions, the intervention of that organized control which we call government",audiobox_final_v2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/reconstruction/LJ008-0266.wav,"Thus in the years between May first, eighteen twenty-seven, and thirtieth April, eighteen thirty-one,",reconstruction
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/groundtruth/LJ046-0092.wav,has confidence in the dedicated Secret Service men who are ready to lay down their lives for him,groundtruth
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final_v2/LJ008-0266.wav,"Thus in the years between May first, eighteen twenty-seven, and thirtieth April, eighteen thirty-one,",audiobox_final_v2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_ljspeech_only/LJ008-0266.wav,"Thus in the years between May first, eighteen twenty-seven, and thirtieth April, eighteen thirty-one,",audiobox_ljspeech_only
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/audiobox_final_v2/LJ046-0092.wav,has confidence in the dedicated Secret Service men who are ready to lay down their lives for him,audiobox_final_v2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ046-0092.wav,has confidence in the dedicated Secret Service men who are ready to lay down their lives for him,fastspeech2
https://github.com/haoheliu/audio_samples_mos/raw/master/speech/fastspeech2/LJ049-0154.wav,"In eighteen ninety-four,",fastspeech2
